Gene	Age	dnds	Degree	cai	GC_content	essentiality	marginal_essentiality	phylogenetic_capacitance
YAL002W	Eukaryota	0.11945	10	0.134	0.372	0	0.039679435	3
YAL005C	pre_Eukaryota	0.0116	215	0.709	0.44	0	0.335980982	6
YAL007C	Eukaryota	0.0802	44	0.235	0.372	0	0.076875784	4
YAL008W	N/A	0.183133333333	4	0.115	0.389	0	0.067252161	4
YAL009W	Fungi	0.0694	8	0.111	0.414	0	0.20931929	4
YAL010C	Fungi	0.0957	10	0.119	0.368	0	0.358308935	4
YAL011W	SCER_S28	0.11515	22	0.148	0.417	0	0.17008872	3
YAL012W	pre_Eukaryota	0.0181	10	0.42	0.488	0	0.136101955	5
YAL013W	SCER_S28	0.0539	15	0.107	0.513	0	0.385243303	3
YAL015C	pre_Eukaryota	0.1074	14	0.12	0.435	0	0.018202075	3
YAL016W	pre_Eukaryota	0.0376	38	0.177	0.383	0	0.442966007	3
YAL017W	pre_Eukaryota	0.0651	35	0.126	0.389	0	0.287498684	4
YAL018C	SCER_S28	0.12455	10	0.154	0.379	0	0.008282788	3
YAL019W	pre_Eukaryota	0.0519	14	0.163	0.406	0	0.018617042	4
YAL020C	N/A	0.2173	7	0.059	0.553	0	0.126711182	4
YAL021C	Eukaryota	0.0429	49	0.137	0.457	0	0.28889951	3
YAL022C	Eukaryota	0.0351	6	0.119	0.458	0	0.059311372	3
YAL023C	N/A	0.0605	8	0.24	0.446	0	0.123178482	3
YAL024C	pre_Eukaryota	0.0881	64	0.123	0.371	0	0.102427399	3
YAL025C	Eukaryota	0.03935	13	0.219	0.424	1	0.079943886	3
YAL026C	pre_Eukaryota	0.0373	30	0.188	0.376	0	0.140670565	3
YAL027W	SCER_S28	0.1202	31	0.112	0.384	0	0.060500267	3
YAL028W	SCER_S28	0.183	30	0.113	0.426	0	0.064584682	3
YAL031C	SCER_S28	0.1104	8	0.123	0.401	0	0.026892221	3
YAL032C	Eukaryota	0.1081	67	0.139	0.453	1	0.083137133	4
YAL033W	Fungi	0.10215	11	0.093	0.416	1	0.133473446	3
YAL034C	Fungi	0.1279	10	0.125	0.423	0	0.034824349	4
YAL034W-A	Fungi	0.134266666667	34	0.109	0.386	1	NaN	4
YAL035W	pre_Eukaryota	0.0876666666667	64	0.355	0.413	0	0.225944522	4
YAL036C	pre_Eukaryota	0.0175	17	0.239	0.437	0	0.012237088	6
YAL037W	N/A	0.209733333333	1	0.094	0.392	0	0.044263522	1
YAL038W	pre_Eukaryota	0.09585	35	0.893	0.463	1	0.103953074	5
YAL039C	N/A	0.0734	5	0.114	0.533	0	0.306170972	3
YAL040C	Eukaryota	0.1236	12	0.205	0.411	0	0.37480438	3
YAL041W	pre_Eukaryota	0.0492	35	0.128	0.389	1	0.100309265	4
YAL042W	pre_Eukaryota	0.04635	14	0.118	0.496	0	0.035490045	4
YAL043C	pre_Eukaryota	0.0845	43	0.13	0.46	1	0.015446441	3
YAL044C	N/A	0.0443666666667	2	0.164	0.482	0	0.314149974	4
YAL046C	N/A	0.188933333333	5	0.113	0.483	0	0.090075399	4
YAL047C	pre_Eukaryota	0.1801	24	0.143	0.365	0	0.342556905	3
YAL048C	N/A	0.04565	3	0.144	0.4	0	0.123901032	3
YAL049C	pre_Eukaryota	0.09565	2	0.172	0.42	0	0.035176326	4
YAL051W	Fungi	0.06425	14	0.142	0.373	0	0.053443779	3
YAL053W	Fungi	0.0463	29	0.166	0.42	0	0.046574516	6
YAL054C	pre_Eukaryota	0.01785	5	0.255	0.454	0	0.069494095	5
YAL055W	SCER_S28	0.286533333333	5	0.087	0.426	0	0.152006472	1
YAL056W	SCER_S28	0.0545	7	0.113	0.395	0	0.179774022	4
YAL058W	Eukaryota	0.2272	1	0.109	0.434	0	0.150398289	4
YAL059W	SCER_S28	0.1943	20	0.174	0.403	0	0.309422182	4
YAL060W	pre_Eukaryota	0.0620666666667	7	0.224	0.452	0	0.048307025	4
YAL061W	pre_Eukaryota	0.03	3	0.144	0.484	0	0.083346954	3
YAL062W	pre_Eukaryota	0.0331	12	0.156	0.487	0	0.032314404	6
YAL067C	N/A	0.0412	4	0.184	0.361	0	0.009170985	2
YAR002W	SCER_S28	0.199	20	0.143	0.395	0	0.053969701	3
YAR003W	pre_Eukaryota	0.0522	18	0.129	0.401	0	0.102921997	4
YAR007C	pre_Eukaryota	0.0302666666667	80	0.206	0.396	1	0.086731495	5
YAR008W	pre_Eukaryota	0.10025	2	0.121	0.394	1	0.279594873	4
YAR014C	Fungi	0.1624	70	0.12	0.418	0	0.056809596	3
YAR015W	N/A	0.0377666666667	5	0.23	0.435	0	0.125057262	4
YAR018C	pre_Eukaryota	0.03375	23	0.138	0.394	0	0.050708772	3
YAR019C	pre_Eukaryota	0.1334	41	0.138	0.401	1	0.258155259	4
YAR023C	N/A	0.4762	2	0.103	0.404	0	0.064742979	1
YAR028W	N/A	0.5643	14	0.122	0.415	0	0.022976475	2
YAR033W	SCER_S28	0.4912	11	0.107	0.412	0	NaN	1
YAR035W	Eukaryota	0.0609	4	0.093	0.581	0	0.018404588	3
YAR042W	Eukaryota	0.05875	20	0.176	0.441	0	0.077507881	3
YAR050W	N/A	0.4287	2	0.259	0.453	0	0.020771391	3
YAR071W	Eukaryota	0.11715	5	0.328	0.423	0	NaN	4
YBL001C	SCER_S28	0.0241666666667	3	0.243	0.394	0	0.021962898	3
YBL002W	Eukaryota	0.03165	106	0.563	0.42	0	0.168000707	6
YBL003C	Eukaryota	0.00845	213	0.544	0.414	0	0.025268613	6
YBL004W	Eukaryota	0.0704	68	0.146	0.355	1	0.130005827	4
YBL005W	Fungi	0.08815	10	0.148	0.36	0	0.297959904	4
YBL006C	SCER_S28	0.115766666667	8	0.057	0.487	0	0.064796576	3
YBL007C	pre_Eukaryota	0.0743	155	0.189	0.434	0	0.267080972	3
YBL008W	pre_Eukaryota	0.0683	14	0.128	0.396	0	0.02434161	3
YBL009W	Eukaryota	0.1361	9	0.141	0.381	0	0.008063784	3
YBL010C	SCER_S28	0.186766666667	8	0.122	0.382	0	0.010323837	4
YBL011W	N/A	0.06725	20	0.166	0.43	0	0.021783276	5
YBL013W	N/A	0.18765	2	0.076	0.492	0	0.023089964	4
YBL014C	SCER_S28	0.156333333333	13	0.12	0.393	1	0.067606877	4
YBL015W	pre_Eukaryota	0.0073	6	0.217	0.46	0	0.027579894	6
YBL016W	Eukaryota	0.0266	113	0.11	0.458	0	0.23853166	5
YBL017C	pre_Eukaryota	0.1387	25	0.163	0.39	0	0.031683966	3
YBL018C	Fungi	0.1747	9	0.175	0.371	1	0.082580145	3
YBL019W	pre_Eukaryota	0.133233333333	3	0.122	0.375	0	0.100996866	4
YBL020W	Eukaryota	0.06395	7	0.139	0.383	1	0.116426419	5
YBL021C	Eukaryota	0.0260666666667	7	0.091	0.481	0	0.25704616	4
YBL022C	pre_Eukaryota	0.0485	12	0.186	0.407	0	0.289740621	5
YBL023C	pre_Eukaryota	0.0181	44	0.175	0.401	1	0.086570264	5
YBL024W	pre_Eukaryota	0.03795	32	0.27	0.387	0	0.047947149	5
YBL025W	SCER_S28	0.0659	7	0.099	0.402	0	0.443901755	4
YBL028C	N/A	0.1216	2	0.261	0.368	0	0.055477388	4
YBL029W	SCER_S28	0.104766666667	2	0.117	0.38	0	0.037560784	5
YBL030C	Eukaryota	0.0661333333333	51	0.538	0.431	1	0.060921614	5
YBL031W	SCER_S28	0.171733333333	8	0.131	0.398	0	0.04652488	4
YBL032W	Eukaryota	0.0598333333333	1121	0.191	0.463	0	0.159049943	4
YBL033C	pre_Eukaryota	0.058	3	0.112	0.481	0	0.518736202	4
YBL034C	Fungi	0.1087	12	0.148	0.354	1	0.04445161	3
YBL035C	Eukaryota	0.0572	21	0.145	0.394	1	0.074531183	3
YBL036C	pre_Eukaryota	0.1119	10	0.236	0.37	0	0.02581521	4
YBL037W	Eukaryota	0.0590333333333	13	0.135	0.376	0	0.051474401	4
YBL038W	pre_Eukaryota	0.0427	38	0.154	0.397	0	0.354166094	4
YBL039C	pre_Eukaryota	0.0317	50	0.309	0.402	0	0.124625603	5
YBL040C	N/A	0.336266666667	8	0.182	0.364	1	0.070024095	3
YBL041W	pre_Eukaryota	0.0166666666667	26	0.166	0.416	1	0.085280633	6
YBL042C	Eukaryota	0.078	7	0.168	0.418	0	0.195952942	4
YBL043W	SCER_S28	0.242133333333	13	0.173	0.433	0	0.025643987	3
YBL045C	pre_Eukaryota	0.0621	32	0.293	0.422	0	0.324609319	3
YBL046W	SCER_S28	0.1399	12	0.129	0.408	0	0.056189577	3
YBL047C	pre_Eukaryota	0.0345	34	0.197	0.413	0	0.012652868	4
YBL049W	Eukaryota	0.0138666666667	10	0.157	0.391	0	0.069497386	4
YBL050W	Eukaryota	0.0144	25	0.159	0.4	1	0.078140793	4
YBL051C	Fungi	0.0751333333333	12	0.187	0.391	0	0.264978356	4
YBL052C	Eukaryota	0.165466666667	14	0.132	0.355	0	0.045570157	4
YBL054W	SCER_S28	0.1208	7	0.142	0.416	0	0.181936826	3
YBL055C	N/A	0.1145	10	0.125	0.406	0	0.021646274	4
YBL056W	Eukaryota	0.0375666666667	20	0.177	0.39	0	0.007253728	5
YBL057C	N/A	0.103866666667	10	0.126	0.425	0	0.008847288	4
YBL058W	Eukaryota	0.116166666667	26	0.144	0.442	0	0.204825044	5
YBL059W	SCER_S28	0.2288	1	0.089	0.392	0	0.075177643	2
YBL060W	N/A	0.1799	4	0.143	0.378	0	0.039413686	4
YBL061C	pre_Eukaryota	0.0553	23	0.113	0.394	0	0.02193841	5
YBL063W	Eukaryota	0.1196	5	0.143	0.362	0	0.046962915	3
YBL064C	pre_Eukaryota	0.0164333333333	13	0.206	0.419	0	0.112152054	4
YBL066C	SCER_S28	0.0663	6	0.137	0.405	0	0.000887544	4
YBL067C	Eukaryota	0.1286	9	0.142	0.373	0	0.020049176	4
YBL068W	pre_Eukaryota	0.0135	7	0.199	0.39	0	0.01873595	6
YBL069W	N/A	0.04505	2	0.169	0.406	0	0.017571169	4
YBL072C	pre_Eukaryota	0.0268	121	0.747	0.437	0	0.103797727	6
YBL074C	Eukaryota	0.1083	15	0.143	0.381	1	0.061109762	4
YBL075C	pre_Eukaryota	0.0187	43	0.177	0.416	0	0.02923779	6
YBL076C	pre_Eukaryota	0.0354	20	0.342	0.389	1	0.022100716	4
YBL078C	Eukaryota	0.0045	18	0.15	0.399	0	0.087526962	4
YBL079W	Eukaryota	0.0576	21	0.151	0.373	0	0.141808448	3
YBL080C	pre_Eukaryota	0.1	3	0.132	0.412	0	0.271038035	3
YBL081W	SCER_S28	0.213733333333	4	0.166	0.448	0	0.155326538	6
YBL084C	pre_Eukaryota	0.0648	42	0.116	0.372	1	0.080781207	6
YBL085W	Eukaryota	0.0761	64	0.132	0.4	0	0.036743236	3
YBL086C	SCER_S28	0.0803	4	0.115	0.412	0	0.048101205	4
YBL087C	pre_Eukaryota	0.0119	42	0.624	0.472	0	0.048618403	6
YBL088C	Eukaryota	0.0979	14	0.123	0.358	0	0.018577891	3
YBL090W	Fungi	0.1165	29	0.136	0.394	0	0.519813173	4
YBL091C	pre_Eukaryota	0.03005	3	0.211	0.434	0	0.01771175	5
YBL092W	pre_Eukaryota	0.13605	57	0.818	0.446	1	0.151646043	5
YBL093C	SCER_S28	0.0534	38	0.104	0.444	0	0.260823391	4
